Operation Title,Operation Method,Operation Path,Tag,Kind,Deprecated,file,,
Create a package API Key,POST,/api/v4/packages/*/apiKeys,Admin,BWC,FALSE,APIHUB_API.yaml,,
Get list of changed operations,GET,/api/v4/packages/*/versions/*/*/changes,Changes Versions,BWC,FALSE,APIHUB_API.yaml,,
Proxy endpoint for try it in case of non-cloud environments.,GET,/playground/proxy,TryIt,BWC,FALSE,APIHUB_API.yaml,,
Get builds statuses,GET,/api/v2/packages/{packageId}/publish/statuses,,,,APIHUB_API.yaml,,
,GET,/api/v2/packages/{packageId}/versions/{version}/changes,,,,APIHUB_API.yaml,,
,GET,/api/v2/packages/{packageId}/versions/{version}/problems,,,,APIHUB_API.yaml,,
,GET,/login/sso/saml,,,,APIHUB_API.yaml,,
Create internal user,POST,/api/internal/users,Users Admin,BWC,FALSE,APIHUB_API_internal.yaml,,
Authentication via an external identity provider,GET,/api/v1/login/sso/*,Auth,BWC,FALSE,APIHUB_API.yaml,,
Get list of system administrators,GET,/api/v2/admins,Roles,BWC,FALSE,Admin API.yaml,,
Add a system administrator,POST,/api/v2/admins,Roles,BWC,FALSE,Admin API.yaml,,
Delete system administrator,DELETE,/api/v2/admins/*,Roles,BWC,FALSE,Admin API.yaml,,
SAML authentication,POST,/api/v2/auth/saml,Auth,BWC,TRUE,APIHUB_API.yaml,,
Get package status,GET,/api/v2/packages/*/status,Packages Admin,BWC,FALSE,APIHUB_API_internal.yaml,,
Get list of available package publish statuses for the user.,POST,/api/v2/users/*/availablePackagePromoteStatuses,Publish Users,BWC,FALSE,APIHUB_API.yaml,,
Get the user avatar,GET,/api/v2/users/*/profile/avatar,Users Admin,BWC,FALSE,APIHUB_API.yaml,,
Authentication via the local identity provider,POST,/api/v3/auth/local,Auth,BWC,FALSE,APIHUB_API_internal.yaml,,
Refreshing the local user token,GET,/api/v3/auth/local/refresh,Auth,BWC,FALSE,APIHUB_API_internal.yaml,,
Store publish status,POST,/api/v3/packages/*/publish/*/status,Publish Admin,BWC,FALSE,APIHUB_API_internal.yaml,,
Global search,POST,/api/v3/search/*,Search,BWC,FALSE,APIHUB_API.yaml,,
Store logs,PUT,/api/v1/debug/logs,,,,APIHUB_API_internal.yaml,,
Get RSA public key,GET,/api/v2/auth/publicKey,,,,APIHUB_API_internal.yaml,,
Get API key by key,GET,/api/v2/auth/apiKey,,,,APIHUB_API_internal.yaml,,
Get PAT by PAT,GET,/api/v2/auth/pat,,,,APIHUB_API_internal.yaml,,
Get API key by ID,GET,/api/v1/auth/apiKey/{apiKeyId},,,,APIHUB_API_internal.yaml,,
Check JWT,GET,/api/v1/auth/token,,,,APIHUB_API_internal.yaml,,
Download files from MINIO to the database,POST,/api/internal/minio/download,,,,Admin_API_internal.yaml,,
